username	bagel_id	score	comment
Mimi's Jeff	1	6	Chewy, looks good, bready
Mimi's Jeff	2	5	perfectly average bagel, would eat
Mimi's Jeff	3	7	pleasantly chewy, crunchy and tasty
Mimi's Jeff	4	8	great crunchy crust with soft inside and beautiful appearance and good taste
Mimi's Jeff	5	5	sticky toppings, really bready, felt cheap
Mimi's Jeff	6	4	dry, overbaked and bready
Mimi's Jeff	7	8	pillowy appearance, delicious and made me happy
Mimi's Jeff	8	4	sticky poor texture, tasted like bread
Mimi's Jeff	9	5	average bagel
Mimi's Jeff	10	5	tastes ok, too onioney
Mimi's Jeff	11	6	tastes and looks slightly better than average
Mimi's Jeff	12	7	chewey beautiful and tastes pretty darn good
Mimi's Jeff	13	6	two bready, didn't stand out
Mimi's Jeff	14	6	very thin, just ok
Mimi's Jeff	15	6	very average, but pretty
Vanessa	1	5	Dry
Vanessa	2	5	Dry
Vanessa	3	3	Tastes like plain bread
Vanessa	4	4	Tastes like french bread (which is not what a bagel is supposed to taste like...)
Vanessa	5	4	Tastes like dried brioche
Vanessa	6	6	Good bagel crust, average bagel taste
Vanessa	7	2	Looks like a bagel you'd get at a free continental breakfast; tastes like it too
Vanessa	8	6	Looks like legit bagel, but a little tough on the inside
Vanessa	9	3	Looks like a grocery store-bought packaged bagel. Tastes like french bread with some seeds on top.
Vanessa	10	7	Looks like a legit bagel, taste didn't live up to looks (but if it had been really fresh it may have)
Vanessa	11	4	No real crust, pretty good topping, nothing special bagel
Vanessa	12	4	No real taste
Vanessa	13	1	Pulled out of bag and laughed; tasted exactly as expected (like bread without bread taste)
Vanessa	14	2	Inside of bagel looks dense and has no character; seasoning decent and overwhelms taste
Vanessa	15	4	Tastes like dried brioche
mimi merliss	1	4	texture: :)\ntopping: smiley face
mimi merliss	2	6	texture: better texture\n
mimi merliss	3	8	smells fresh, yummy
mimi merliss	4	8	beautiful crumb
mimi merliss	5	3	bready, sticky topping
mimi merliss	6	2	too chewy, shaped badly
mimi merliss	7	10	lovely color, clearly prepared properly.  a true bagel. 
mimi merliss	8	3	hard to bite through, looked over baked 
mimi merliss	9	2	bread not bagel. tastes like sourdough. 
mimi merliss	10	2	i swear this is the same bagel as #6
mimi merliss	11	6	good crumb well seasoned not outstanding
mimi merliss	12	7	very chewy but good taste
mimi merliss	13	6	tasty, a little bready
mimi merliss	14	7	well seasoned, 
mimi merliss	15	7	okay, yummy; nothing special
Edels	1	8	good seasoning, the onion doesn't overpower. Good crust, perhaps a bit light. Nice chewy interior
Edels	2	9	Great seasoning. Nice crust. Excellent chew & density.
Edels	3	7	The onions were pungent! Excellent chew.
Edels	4	8	Spectacular seasoning. Great crust. Interior is too dense.
Edels	5	1	The exterior tastes almost burnt and the spices are way too strong. The crust is too thick and the interior too chewy. I almost didn't finish it.
Edels	6	8	Good blend of seasoning and good chew.
Edels	7	7	Good seasoning, but the onion overpowers. There's 0 crust. The interior has a good chrew but it could use a bit more density.
Edels	8	6	Tasty blend of seasoning. The exterior is too tough/crusty. The interiot is a bit too chewy/dense.
Edels	9	8	AMAZING seasoning. The crust is too thick/chewy. The interior is excellent.
Edels	10	6	The seasoning is a bit too strong. The crust is a bit too thick.
Edels	11	10	This is my favorite bagel. The seasoning is perfect, the crust has the right amount of crunch, and the interior has the right amount of chew without being too dense
Edels	12	7	Good seasoning, perhaps a bit mild. Not much of a crust. The interior has good chew but is a bit too dense.
Edels	13	9	This is tied for second place. It's like #11 but with a lower density interior.
Edels	14	6	Strong poppy seed taste. Very tough and chewy.
Edels	15	9	This is tied for second place. It's like #11 but with a higher density interior.
Kevin S.	1	7	good standard bagel
Kevin S.	2	5	dough was too sweet, also not enough salt
Kevin S.	3	9	Similar to #1 but better
Kevin S.	4	6	light, not much chew, hint of sweetness
Kevin S.	5	7	chewy and toasty
Kevin S.	6	6	salty dough, a little gluey, thick and dense
Kevin S.	7	2	literally a store bought bagel
Kevin S.	8	7	very toasty
Kevin S.	9	8	tastes like sourdough, surprisingly good given that it’s only a sesame bagel
Kevin S.	10	7	strong spiced flavor reminiscent of licorice or fennel (caraway seeds?)
Kevin S.	11	6	delicate, light
Kevin S.	12	6	delicate, light
Kevin S.	13	6	outside crust too thin, light
Kevin S.	14	4	sweet, no chew, flat inside with no texture\n
Kevin S.	15	5	unremarkable (but this was the last one we tasted so, bagel fatigue?)
Christina Foster	1	9	Very savory, great texture, 
Christina Foster	2	5	Hard texture, don't like the onion
Christina Foster	3	7	I like the sesame. Nice overall bagel. A little hard. 
Christina Foster	4	7	Great texture.  Good flavor.  
Christina Foster	5	8	Soft and yummy all around
Christina Foster	6	5	tougher than I'd like, and okay flavor
Christina Foster	7	6	Not as dense as anticipated, so that was nice. Average flavor
Christina Foster	8	7	A little tangy, which I like. Very nice flavor. 
Christina Foster	9	6	Pretty bagel, great plain/normal bagel
Christina Foster	10	6	Lots of flavor and spice. Texture is great, but a little too much salt for the flavor. 
Christina Foster	11	9	Tastes very fresh, Very solid flavor. Great bagel. 
Christina Foster	12	4	crust is hard and chewy, flavor is good though. 
Christina Foster	13	4	Pretty boring bagel, 
Christina Foster	14	6	I like the poppyseeds, but there's not much other flavor, A little firm, 
Christina Foster	15	7	Overall good, not a ton going on to make it amazing, 
Austin Foster	1	7	a touch dry, but good flavor
Austin Foster	2	7	Sticky exterior, more mild flavor.  Slight sweet onion.
Austin Foster	3	6	Nice little bagel, nothing crazy, which I like
Austin Foster	4	8	Good texture, good mild flavor.  Not over powering.  This one is good.
Austin Foster	5	8	Very soft, I really like this one. Hint of onion and cheese
Austin Foster	6	6	More stuff on it and it's not doing anything. 
Austin Foster	7	7	Perfect texture, feels like a classic bagel, 
Austin Foster	8	9	very crisp, but fluffy interior
Austin Foster	9	7	Good texture, good bagel, well executed but a little plain
Austin Foster	10	6	A little salty, tastes like it's covered in garlic salt, little cheese flavor in there but mostly garlic/salt. 
Austin Foster	11	9	Texture is great, flavor it good, not a lot to not like 
Austin Foster	12	4	Toppings not well distributed, but pretty shine. Felt sticky. Taste okay. 
Austin Foster	13	3	Topping unevenly distributed again. It's an Everything bagel with nothing. 
Austin Foster	14	6	Really nice crust, firm interior
Austin Foster	15	7	good, but not amazing. 
Donovan	1	9	Love the seasoning, a little dry
Donovan	2	5	Great texture, was lacking oomph
Donovan	3	4	Left a funky taste in my mouth
Donovan	4	4	Lacking some flavor. A bit dough-y
Donovan	5	6	Good texture. Kinda messy, lacking oomph
Donovan	6	8	Nice toasty flavor with solid seasoning.
Donovan	7	5	Very light and airy. Nothing remarkable in the seasoning
Donovan	8	7	Solid bagel, rough to chew
Donovan	9	5	Didn't realize this was a bird feeder test!
Donovan	10	7	Good texture, a bit too salty
Donovan	11	8	Great flavor
Donovan	12	3	Tastes like dough. Bad aftertaste
Donovan	13	3	Dry. Not a great taste
Donovan	14	4	Bland and styrofoam-y. Cream cheese was good!
Donovan	15	7	Decent flavor, a little dough-y
Brynne	1	8	Good chew, great flavor 
Brynne	2	5	Good flavor, tough
Brynne	3	6	Strong onion flavor, good texture
Brynne	4	10	Fantastic texture, great taste
Brynne	5	4	Tougher, dark, good flavor hard texture
Brynne	6	7	Salty, good poppy flavor, decent texture
Brynne	7	8	Good chew, doughy, solid flavor
Brynne	8	7	Heavy on the sesame, salty good flavor
Brynne	9	7	Sesame only, light color, tangy
Brynne	10	7	Darker, whole wheat?, good poppy onion combo
Brynne	11	9	Really good flavor, light salty
Brynne	12	3	Boring, not much flavor
Brynne	13	5	Kinda tough, not much flavor
Brynne	14	5	Dense, bready, descent flavor
Brynne	15	6	Firm, nothing special
Mark	1	5	Didn't like the toppings on this. A bit dry
Mark	2	2	Dense dough, texture is not good while chewing, unappealing flavor.
Mark	3	7	
Mark	4	7	Airier dough than most
Mark	5	3	Dough texture was not good, very messy to hold due to excessive poppy seeds.
Mark	6	7	Good, but taste more like a pretzel than a bagel
Mark	7	4	Dense, gluey structure. Bad mouthfeel.
Mark	8	4	Strong burnt flavoring, too many seeds
Mark	9	4	Skin of the bagel was incredibly difficult to bite through. Sour dough aftertaste lingered too long.
Mark	10	2	Strong flavoring on toppings trying to make up for a poorly baked bagel. 
Mark	11	8	The saltiness of the toppings really works well with the bagel 
Mark	12	9	Great! My favorite of the bunch.
Mark	13	3	Odd flavor (burnt garlic?). Tough to chew
Mark	14	3	Too many seeds. Texture is really dense
Mark	15	6	A bit dried out, but overall ok
Topher 	1	7	Typical bagel bite. Nothing really stood out. 
Topher 	2	3	There's a flavor I can't pinpoint that is overwhelming.
Topher 	3	2	Garlic was overwhelming
Topher 	4	7	Wonderful toasty aroma that only transfered to the taste.
Topher 	5	8	I appreciated the how well the cream cheese worked with this bagel. Great bite!
Topher 	6	3	Bite was a little more chewy for my taste
Topher 	7	6	Seasoning was great. Bagel was a little soft, and I believe would have been better toasted.
Topher 	8	7	Great first bite! Visually pleasing to look at with the addition of cheese. All of the flavors worked well together.
Topher 	9	6	Sesame seed bagel is a classic. 
Topher 	10	5	First bite was great. Burnt onion flavor would stop me from taking a second bite though.
Topher 	11	7	Great texture, a little strong on pepper.
Topher 	12	5	Garlic took over and became the only taste I experienced.
Topher 	13	5	I couldn't put my finger on the flavor. My initial thoughts were how the cream cheese didn't work with bagel.
Topher 	14	7	Enjoyed the texture of the poppy seeds. Taste was subtle, and not overwhelming. Which is what I look for in a bagel.
Topher 	15	8	I believe I tasted pepper, onion, and garlic. If I'm right, I would consider that a good combination. The flavor blended well together, and nothing was overwhelming.
Candice	1	7	Great texture, very typical bagel with chewy crust and soft inside, toasted nicely, could have had better "everything" seasoning coverage
Candice	2	3	Massive and bready, good coverage of "everything" seasoning but there's something in it that was overwhelming. Not a fan, needs better texture
Candice	3	6	Seemed dry when tearing it apart, but wasn't overly chewy and had a good flavor. Lots of "everything" seasoning with tons of roasted garlic
Candice	4	6	Excellent toasted smell, soft and chewy, light on "everything" seasoning, but was overwhelmed with sesame flavor. Would love to try a different flavor
Candice	5	3	Nice coverage of "everything" seasoning, very chewy and not super soft, looked nice tho
Candice	6	2	Chewy, extra dense, maybe undercooked or underproofed? "Everything" seasoning is tasty, heavy on sesame with good coverage. Would not eat again
Candice	7	5	Soft and bready, a bit dense, seems like a basic dough, but the "everything" seasoning is delicious with great coverage, could be better toasted
Candice	8	4	Full coverage of "everything" seasoning, slightly burnt onion flavor, super chewy but not as flavorful as other sourdough bagels
Candice	9	5	Toasted sesame only, all over coverage, soft and chewy. A little boring next to the "everything" bagels
Candice	10	4	Sourdough is super chewy, which is good, and the "everything" topping is full coverage but it has a burnt onion flavor, which is sad. A better "everything" mix with less burnt onion would bump this up several points
Candice	11	7	Soft and chewy crumb, good "everything" topping but stronger on pepper, would be great toasted
Candice	12	5	Good "everything" topping that was stronger on garlic, super chewy crust but inside was nice and soft
Candice	13	3	Extra chewy crust, a little drier inside, good "everything" topping, but not a fan overall of texture
Candice	14	5	Sesame and poppy, cute but not tons of flavor, soft and chewy, good crumb, middle of the road for me, maybe better toasted
Candice	15	8	Good texture, chewy but not hard, good crumb, tons of "everything" topping but not overwhelming, onions and garlic I think
Holly Saville	1	5	Bland bagel
Holly Saville	2	7	A bit chewy, but great flavor
Holly Saville	3	8	Great texture and combination of seeds, good flavor.
Holly Saville	4	10	Our favorite! Lots of great flavor with an underlying smokiness, crisp crust while soft and moist on the inside.
Holly Saville	5	2	Too many seeds, negatively affecting both texture and taste
Holly Saville	6	5	Standard bagel texture (a bit chewy), good flavor
Holly Saville	7	5	Best looking bagel, but lacks true flavor. Moist texture.
Holly Saville	8	1	Too many seeds, really hard to chew
Holly Saville	9	7	Loved the consistency of the baked-in sesame seeds. Would toast well
Holly Saville	10	3	Too chewy; maybe too much yeast/butter
Holly Saville	11	6	A little too chewy, good flavor
Holly Saville	12	5	Kinda nutty flavor; too chewy
Holly Saville	13	5	Nice touch with the garlic, overall a bit overcooked
Holly Saville	14	8	A whole lot of flavor, but a bit dry. Might be better fresh
Holly Saville	15	3	Very dense; tasted a bit stale
Mary Downes	1	6	Soft, 
Mary Downes	2	5	Chewy, not a big fan, flour taste, 
Mary Downes	3	9	Good flavor, you can tell it's boiled/not baked, I like the toasted sesame, 
Mary Downes	4	7	Not bad, tastes like Blazing Bagels, 
Mary Downes	5	3	Stale, 
Mary Downes	6	9	Perfect amount of chewiness! 
Mary Downes	7	6	Not a huge fan, blah, 
Mary Downes	8	5	Looks good, completed coated, salty, 
Mary Downes	9	7	Looks boring, but tastes okay. Tastes like sourdough. 
Mary Downes	10	7	Looks nice, pretty bagel, chewy, onion and garlic, not bad, 
Mary Downes	11	8	That one's good! This one's my favorite so far. 
Mary Downes	12	5	It's so chewy! Boring flavor. 
Mary Downes	13	6	boring, not a good flavor
Mary Downes	14	5	Like the look of this one, Unique look 0 10/10 on the look, it's too thick, it reminds me of pound cake, not a fan
Mary Downes	15	4	Nope. Boring, tastes like baking soda
	1	5	Very salty. crunchy
	2	1	This didn't taste or smell great.
	3	3	A bit too onion-y and chewy
	4	8	good amount of salt, a bit lacking in topping, but tastes and smells pretty great.
	5	3	burnt topping
	6	7	chewy- but tastes pretty good topping/dough wise
	7	4	onion-y dough, texture nice at the start but then gets gummy
	8	2	bland
	9	5	Good topping coverage. a bit chewy
	10	3	This is just round wheat bread with everything topping
	11	6	Good topping and saltiness
	12	3	onion-y. topping isn't great
	13	5	good dough. lacking on topping
	14	3	too thin, is mostly a sesame bagel. too sweet 
	15	3	just meh
NULL	1	6	very salty, spongy, flavor sticks around
NULL	2	3	tastes odd, but can't place it
NULL	3	5	chewy, good seasoning.
NULL	4	8	Has fennel? good texture. everything topping comes through well
NULL	5	3	open crumb. onion a bit burnt
NULL	6	4	Dense. Extremely chewy. flavor is good.
NULL	7	2	Nice texture at first, ends up gummy
NULL	8	1	bland. burnt
NULL	9	5	very open crumb, very light, a little chewy. would make very good bagel chips
NULL	10	3	This is bread with a chewy crust 
NULL	11	7	salty, light, and spongy 
NULL	12	2	smells/tastes like onion powder in the bagel. balances better with cream cheese
NULL	13	5	Not much everything seasoning, but the bagel itself is solid
NULL	14	3	too sweet. tastes like sesame, not an everything bagel, unexciting. 
NULL	15	3	Bland. Doesn't hold up when you start eating
Samantha Wroblewski	1	5	NULL
